exhibition_id,exhibition_name,start_date,end_date,visitors,country,region,exhibition_type,has_digital_component,ticket_price,rating,art_movement,artist_count,artwork_count,venue_size
ex001,文艺复兴艺术展,2025-01-15,2025-04-15,45000,中国,华东,历史艺术,true,80,4.8,文艺复兴,50,120,5000
ex002,现代艺术大师展,2025-02-10,2025-05-10,38000,中国,华北,现代艺术,false,100,4.6,现代主义,30,80,4000
ex003,印象派画作展,2025-03-01,2025-06-01,52000,中国,华南,印象派,true,90,4.9,印象派,25,95,6000
ex004,当代艺术双年展,2025-04-10,2025-07-10,28000,中国,西南,当代艺术,true,70,4.3,当代艺术,80,200,8000
ex005,中国传统书画展,2025-05-01,2025-08-01,35000,中国,西北,传统艺术,false,60,4.7,传统艺术,40,150,3000
ex006,巴洛克艺术展,2025-06-15,2025-09-15,22000,中国,东北,历史艺术,false,85,4.4,巴洛克,35,75,3500
ex007,数字艺术展,2025-07-01,2025-10-01,31000,中国,华东,数字艺术,true,110,4.5,数字艺术,60,180,7000
ex008,摄影艺术展,2025-08-10,2025-11-10,19000,中国,华北,摄影艺术,false,50,4.2,摄影艺术,45,160,2500
ex009,雕塑艺术展,2025-09-01,2025-12-01,26000,中国,华南,雕塑艺术,true,75,4.6,雕塑,20,60,4500
ex010,版画艺术展,2025-10-15,2026-01-15,17000,中国,西南,版画艺术,false,45,4.1,版画,55,130,2000
ex011,日本浮世绘展,2025-11-01,2026-02-01,29000,中国,华东,东方艺术,true,80,4.7,浮世绘,30,85,3800
ex012,非洲艺术展,2025-12-10,2026-03-10,15000,中国,华北,非洲艺术,false,65,4.0,非洲艺术,40,90,2200
ex013,拉丁美洲艺术展,2026-01-01,2026-04-01,20000,中国,华南,拉丁美洲艺术,true,70,4.3,拉丁美洲艺术,50,110,3200
ex014,伊斯兰艺术展,2026-02-15,2026-05-15,23000,中国,西南,伊斯兰艺术,false,75,4.5,伊斯兰艺术,35,80,3000
ex015,东亚艺术展,2026-03-01,2026-06-01,32000,中国,东北,东亚艺术,true,85,4.6,东亚艺术,45,125,4000
